Retail,pearson correlation,p
all,0.6928443732312781,7.878541738569016e-06
1,0.5628481604109739,0.0006500064224502286
2,0.608554617165142,0.00017157735492228453
3,0.8010764869546919,2.1497568285639633e-08
4,0.6354639082116925,7.085339300180344e-05
5,0.7292608594635217,1.480183619408454e-06
6,0.779585381333634,8.972743643163108e-08
7,0.5850180570088838,0.00034918481479872187
8,0.4464511887959521,0.009203626480848942
