Retail,Moran_I,sim_Z,sim_p
all,0.3467101356003397,3.373977897185747,0.002
1,0.3745002175946934,3.179851971513909,0.003
2,0.2861896779677683,2.9414194940961007,0.003
3,0.39038483857798945,3.5971710583148786,0.002
4,0.3095849388547331,3.250102682105739,0.002
5,0.3630130341788912,3.3163343024060983,0.001
6,0.36827680260218376,3.507801994038317,0.001
7,0.3265399076365654,3.1971267535603682,0.003
8,0.37475686788452234,3.4278477959948295,0.002
