Retail,Moran_I,sim_Z,sim_p
all,0.3796356733313774,3.7499991849101315,0.001
1,0.4923531253116581,4.270087111686288,0.001
2,0.3363184804059287,3.3374976542577306,0.003
3,0.37946163597817584,3.4277184080864163,0.001
4,0.3233796821998786,3.513259395630616,0.001
5,0.41983879194265056,3.8485328756541226,0.001
6,0.45488316043659627,3.8648172606753346,0.001
7,0.3331176851734349,3.3611899906689815,0.004
8,0.38393733971682953,3.608180082600769,0.001
