Retail,Moran_I,sim_Z,sim_p
all,0.3146459397328037,2.968368013527665,0.002
1,0.3792016423179279,3.2984746357460937,0.002
2,0.27858511641164463,2.908744408713016,0.008
3,0.3223475990680364,2.8761083416795614,0.005
4,0.2726284186213154,2.8389435394919214,0.005
5,0.3471306040783127,3.0235098505603037,0.005
6,0.3670379099727867,3.359478725288559,0.002
7,0.2621026073007468,2.578351010333796,0.007
8,0.31452705093851535,2.9977399589285887,0.004
