Retail,Moran_I,sim_Z,sim_p
all,0.39005227035974843,3.8181545760151,0.001
1,0.3998106184659602,3.423574839632632,0.001
2,0.3924360642407355,4.062490910521395,0.001
3,0.3565998530145639,3.1554661872621397,0.002
4,0.35150926259126086,3.6343320862519417,0.001
5,0.4039138645124835,3.5674830644101156,0.001
6,0.40164836501817225,3.481555670826288,0.001
7,0.3725573279751303,3.551962082421159,0.001
8,0.1899089483268536,1.8490384152010773,0.038
