Retail,pearson correlation,p
all,0.2843213361833301,0.10879798333672404
1,0.6883520920864152,9.523786354515645e-06
2,0.20511337341312375,0.2521760427194163
3,0.31729295686983455,0.07198019525920439
4,0.12753970423608196,0.4793761438854522
5,0.4163523199289023,0.015947402802514388
6,0.5903052065918276,0.00029908835584178516
7,0.25373826548730305,0.15419957752198624
8,0.6776093090214653,1.4792287846380796e-05
