Retail,Moran_I,sim_Z,sim_p
all,-0.09312205826829147,-0.9361152248652924,0.183
1,-0.10965445794117372,-0.9195061086358085,0.182
2,-0.12991067014881277,-1.3048145587464597,0.094
3,-0.03599112692953809,-0.3616322184666184,0.357
4,-0.0821409990241091,-0.9207520690326617,0.179
5,-0.10191481229669724,-0.9434363924097634,0.185
6,-0.09177308220278635,-0.8815726963983184,0.194
7,-0.08532953889141297,-0.7995134252289282,0.207
8,0.06762504761625263,0.6782817833862472,0.256
