Retail,pearson correlation,p
all,0.9733076044320741,2.2299993909951626e-21
1,0.8635525081488357,9.870658019703098e-11
2,0.9897709761209545,8.72624920013537e-28
3,0.8700833584359001,4.8385365236999634e-11
4,0.944364852352053,1.6032578478233385e-16
5,0.9488020607480643,4.559820321366876e-17
6,0.8477727133777049,4.798983158099769e-10
7,0.9303251669640913,4.753887912617188e-15
8,0.31046407189262604,0.07866959614159241
