Retail,pearson correlation,p
all,0.6792613243855763,1.3840150715216597e-05
1,0.6406318045865876,5.9211472873517354e-05
2,0.6670402715228794,2.242198429246388e-05
3,0.619030144376885,0.00012277933570715687
4,0.6716891814127957,1.8711283110969642e-05
5,0.6899350068223641,8.911550542718383e-06
6,0.5221143019520122,0.00182953302099887
7,0.6133100776668682,0.00014761208374327496
8,0.13136906981435914,0.46616881327431353
